organization,person,organization_prediction,can_reverse
Kraft Heinz,Miguel Patricio,Kraft Heinz Company,True
Tesla,Elon Musk,Tesla and SpaceX.,True
NextEra Energy,James L. Robo,NextEra Energy.,True
Macy's,Jeff Gennette,"Macy's, Inc.",True
Zoetis,Kristin Peck,Zoetis,True
General Electric,Larry Culp,General Electric (GE),True
Xylem,The CEO of Xylem is Patrick Decker.,Xylem Inc.,True
Altria Group,Marty Barrington,Marty Barrington is the former CEO of Altria Group.,True
Travelers,Alan D. Schnitzer,"The Travelers Companies, Inc.",True
Airbnb,Brian Chesky,Airbnb,True
Fastenal,Daniel L. Florness,Fastenal Company,True
J.M. Smucker,Mark Smucker,The J.M. Smucker Company.,True
Uber Technologies,Dara Khosrowshahi,"Uber Technologies, Inc.",True
Mutual of Omaha Insurance,James Blackledge,,False
Ally Financial,Jeffrey J. Brown,,False
Group 1 Automotive,Earl J. Hesterberg,Group 1 Automotive.,True
Taylor Morrison Home,Sheryl Palmer,Sheryl Palmer is the CEO of Taylor Morrison Home Corporation.,True
US Foods Holding,Pietro Satriano,Pietro Satriano is the CEO of Foodservice at the US Foods Holding Corp.,True
Qurate Retail,David Rawlinson II,"Qurate Retail, Inc.",True
Intuitive Surgical,Gary Guthart,Intuitive Surgical.,True
Murphy USA,Andrew Clyde,,False
Reinsurance Group of America,Anna Manning,,False
Northrop Grumman,Kathy Warden,Northrop Grumman.,True
Fifth Third Bancorp,Timothy Spence,,False
Old Republic International,Christopher J. Williams,,False
ODP,The CEO of ODP Corporation is Gerry Smith.,ODP Corporation,True
Mastercard,Michael Miebach,Mastercard,True
Walt Disney,Bob Iger,The Walt Disney Company,True
Philip Morris International,Jacek Olczak,Philip Morris International.,True
XPO,Bradley Jacobs,XPO Logistics,True
Diamondback Energy,Travis Stice,Diamondback Energy.,True
Boston Scientific,Mike Mahoney,Boston Scientific,True
Berkshire Hathaway,Warren Buffett,Berkshire Hathaway,True
Fluor,David T. Seaton,Fluor Corporation,True
Avery Dennison,Mitchell R. Butier,Mitchell R. Butier is the CEO of Avery Dennison Corporation.,True
Autoliv,Mikael Bratt,,False
CarMax,Bill Nash,Bill Nash is the CEO of CarMax.,True
LKQ,Dominick Zarcone,,False
Advance Auto Parts,Tom Greco,Tom Greco is the CEO of Advance Auto Parts.,True
Netflix,Ted Sarandos and Greg Peters are co-CEOs of Netflix.,Netflix,True
PepsiCo,Ramon Laguarta,PepsiCo,True
Tractor Supply,Hal Lawton,Hal Lawton is the CEO of Tractor Supply Company.,True
Jacobs Solutions,Bob Pragada,,False
VF,Steve Rendle,VF Corporation,True
Waste Management,Jim Fish,"Waste Management, Inc.",True
Lockheed Martin,James Taiclet,Lockheed Martin.,True
Chevron,Mike Wirth,Chevron.,True
Colgate-Palmolive,Noel Wallace,Colgate-Palmolive.,True
Sanmina,Jure Sola,Jure Sola is the CEO of Sanmina Corporation.,True
Keurig Dr Pepper,Bob Gamgort,Bob Gamgort is the CEO of Keurig Dr Pepper.,True
Otis Worldwide,J. Patrick O'Connor,,False
International Paper,Mark Sutton,Mark Sutton is the CEO of International Paper.,True
Cognizant Technology Solutions,Brian Humphries,,False
New York Community Bancorp,The CEO of New York Community Bancorp is Thomas R. Cangemi.,New York Community Bancorp.,True
M&T Bank,The CEO of M&T Bank is René Jones.,M&T Bank Corporation.,True
Automatic Data Processing,Carlos Rodriguez,Carlos Rodriguez is the CEO of ADP (Automatic Data Processing).,True
Expeditors International of Washington,The CEO of Expeditors International of Washington is Jeffrey S. Musser.,Expeditors International of Washington,True
MGM Resorts International,Bill Hornbuckle,MGM Resorts International,True
Ameren,The CEO of Ameren is Warner Baxter.,Ameren Corporation,True
Caterpillar,Jim Umpleby,Caterpillar Inc.,True
Motorola Solutions,Greg Brown,Motorola Solutions,True
Wells Fargo,Charlie Scharf,Wells Fargo & Company,True
Commercial Metals,Barbara Smith,,False
Centene,Sarah London,Sarah London is the CEO of Centene Corporation.,True
Kyndryl Holdings,Martin Schroeter,,False
W.W. Grainger,Donald G. Macpherson,,False
FedEx,Raj Subramaniam,FedEx Corporation,True
Western & Southern Financial Group,John F. Barrett,John F. Barrett is the CEO of Western & Southern Financial Group.,True
ManpowerGroup,Jonas Prising,ManpowerGroup,True
Clorox,Linda Rendle,Clorox.,True
Chipotle Mexican Grill,Brian Niccol,Chipotle Mexican Grill,True
Williams-Sonoma,Laura Alber,"Williams-Sonoma, Inc.",True
Abbott Laboratories,Robert B. Ford,,False
Fidelity National Financial,The CEO of Fidelity National Financial is Raymond R. McGuire.,Fidelity National Financial,True
Boeing,David L. Calhoun,The Boeing Company.,True
Knight-Swift Transportation Hldgs.,David A. Jackson,,False
Eli Lilly,David A. Ricks,Eli Lilly and Company.,True
Hormel Foods,Jim Snee,Hormel Foods Corporation,True
Molson Coors Beverage,Gavin Hattersley,Molson Coors Beverage Company.,True
Salesforce,Marc Benioff,Salesforce.,True
Regeneron Pharmaceuticals,Leonard Schleifer,Regeneron Pharmaceuticals,True
United Natural Foods,The CEO of United Natural Foods is Sandy Douglas.,"United Natural Foods, Inc. (UNFI)",True
Marsh & McLennan,Dan Glaser,Marsh & McLennan Companies,True
Icahn Enterprises,Carl Icahn,Icahn Enterprises.,True
McDonald's,Chris Kempczinski,McDonald's,True
Coca-Cola,James Quincey,The Coca-Cola Company,True
Cintas,Scott D. Farmer,Scott D. Farmer is the CEO of Cintas Corporation.,True
Kohl's,Tom Kingsbury,,False
Advanced Micro Devices,Lisa Su,Advanced Micro Devices (AMD),True
EchoStar,The CEO of EchoStar is Hamid Akhavan.,EchoStar Corporation,True
Starbucks,Laxman Narasimhan,Starbucks.,True
Hewlett Packard Enterprise,Antonio Neri,Hewlett Packard Enterprise (HPE),True
Prudential Financial,Charles Lowrey,Prudential Financial.,True
Nucor,Leon Topalian,Nucor Corporation,True
Watsco,Albert H. Nahmad,,False
Prologis,Hamid Moghadam,,False
Yum China Holdings,Joey Wat,,False
Microchip Technology,Ganesh Moorthy,Microchip Technology Inc.,True
Duke Energy,Lynn Good,Duke Energy,True
Interpublic Group,Philippe Krakowsky,Interpublic Group (IPG),True
Apple,Tim Cook,Apple Inc.,True
McKesson,Bree A. Carr.,,False
StoneX Group,The CEO of StoneX Group is Sean M. O'Connor.,StoneX Group,True
Meta Platforms,Mark Zuckerberg,"Meta Platforms, Inc. (formerly Facebook, Inc.)",True
Citigroup,Jane Fraser,Citigroup,True
FirstEnergy,The CEO of FirstEnergy is Steven E. Strah.,FirstEnergy Corporation,True
Intuit,Sasan Goodarzi,Intuit,True
Southwest Airlines,Robert Jordan,Robert Jordan is the CEO of Southwest Airlines.,True
Gilead Sciences,Daniel O'Day,Gilead Sciences,True
Delek US Holdings,Uzi Yemin,Uzi Yemin is the CEO of Delek US Holdings.,True
Johnson & Johnson,Joaquin Duato,Johnson & Johnson,True
Dollar General,Jeff Owen,,False
GE HealthCare Technologies,Peter Arduini,,False
Assurant,The CEO of Assurant is Keith D. Latimer.,Assurant,True
Burlington Stores,Michael O'Sullivan,,False
JetBlue Airways,Robin Hayes,JetBlue Airways.,True
Edison International,Pedro Pizarro,Edison International.,True
Beacon Roofing Supply,Julian Francis,,False
Honeywell International,Darius Adamczyk,Honeywell International Inc.,True
American Express,Stephen Squeri,American Express,True
Newell Brands,Ravi Saligram,Ravi Saligram is the CEO of Newell Brands.,True
Genworth Financial,Thomas McInerney,Genworth Financial.,True
Cardinal Health,Jason Hollar,,False
PBF Energy,The CEO of PBF Energy is Thomas J. Nimbley.,PBF Energy,True
Albemarle,J. Michael Wilson,,False
Eastman Chemical,Mark J. Costa,Mark J. Costa is the CEO of Eastman Chemical Company.,True
Enterprise Products Partners,Jim Teague,Jim Teague is the CEO of Enterprise Products Partners L.P.,True
Cisco Systems,Chuck Robbins,Cisco Systems,True
Sonic Automotive,David Smith,,False
Analog Devices,Vincent Roche,"Analog Devices, Inc.",True
General Motors,Mary Barra,General Motors (GM),True
Liberty Mutual Insurance Group,David Long,,False
Owens Corning,Brian Chambers,,False
Foot Locker,Mary Dillon,,False
Merck,Rob Davis,,False
Darden Restaurants,Rick Cardenas,,False
Casey's General Stores,Darren Rebelez,,False
Allstate,Tom Wilson,The Allstate Corporation.,True
Conagra Brands,Sean Connolly,Sean Connolly is the CEO of Conagra Brands.,True
Cummins,Jennifer Rumsey,Cummins Inc.,True
Las Vegas Sands,Robert Goldstein,Las Vegas Sands Corp.,True
Tyson Foods,Donnie King,Tyson Foods,True
J.B. Hunt Transport Services,John Roberts III,,False
Thrivent Financial for Lutherans,The CEO of Thrivent Financial for Lutherans is Terry Rasmussen.,Thrivent Financial for Lutherans,True
Constellation Brands,Bill Newlands,Constellation Brands,True
ConocoPhillips,Ryan Lance,ConocoPhillips,True
Tenet Healthcare,Saum Sutaria,Saum Sutaria is the CEO of Tenet Healthcare.,True
Corning,Wendell P. Weeks,Corning Inc.,True
PayPal Holdings,Dan Schulman,,False
Intercontinental Exchange,Jeffrey C. Sprecher,Intercontinental Exchange (ICE),True
Comcast,Brian Roberts,Comcast.,True
Ball,John A. Hayes,John A. Hayes is the CEO of Ball Corporation.,True
Interactive Brokers Group,Thomas Peterffy,Interactive Brokers Group.,True
Equitable Holdings,Mark Pearson,,False
Insight Enterprises,Kenneth Lamneck,Insight Enterprises,True
Fiserv,Franklin P. Johnson,,False
Crown Holdings,Timothy J. Donahue,,False
Baxter International,The CEO of Baxter International is José E. Almeida.,Baxter International,True
Jones Lang LaSalle,Christian Ulbrich,Christian Ulbrich is the CEO of JLL (Jones Lang LaSalle).,True
Securian Financial Group,Chris Hilger,,False
CBRE Group,Bob Sulentic,"CBRE Group, Inc.",True
Home Depot,Ted Decker,Home Depot,True
Super Micro Computer,Charles Liang,"Supermicro (Super Micro Computer, Inc.).",True
DoorDash,Tony Xu,DoorDash,True
Gap,Bob Martin,,False
Oracle,Safra Catz,Oracle Corporation,True
UnitedHealth Group,Andrew Witty,UnitedHealth Group,True
American International Group,Peter Zaffino,American International Group (AIG),True
C.H. Robinson Worldwide,Bob Biesterfeld,,False
Illinois Tool Works,E. Scott Santi,Illinois Tool Works (ITW),True
Ross Stores,Barbara Rentler,"Ross Stores, Inc.",True
Goldman Sachs Group,David Solomon,,False
Equinix,Charles Meyers,Equinix.,True
DuPont,Ed Breen,DuPont.,True
AutoNation,Mike Jackson,Mike Jackson is the CEO of AutoNation.,True
Truist Financial,William H. Rogers Jr.,,False
General Dynamics,Phebe Novakovic,General Dynamics.,True
Polaris,The CEO of Polaris is Mike Speetzen.,Polaris Industries.,True
PVH,Stefan Larsson,,False
3M,Mike Roman,3M Company.,True
United Airlines Holdings,Scott Kirby,,False
Discover Financial Services,Roger Hochschild,Discover Financial Services,True
Amgen,Robert A. Bradway,Amgen,True
Dominion Energy,Robert M. Blue,Dominion Energy,True
Vertex Pharmaceuticals,Reshma Kewalramani,Vertex Pharmaceuticals,True
Phillips 66,Greg Garland,Phillips 66,True
Dana,James K. Kamsickas,Dana Incorporated.,True
CVS Health,Karen Lynch,CVS Health.,True
Deere,John C. May,John C. May is the CEO of Deere & Company.,True
Target,Brian Cornell,Target Corporation,True
Bank of New York Mellon,Robin Vince,Robin Vince is the CEO of BNY Mellon (The Bank of New York Mellon Corporation).,True
United Services Automobile Assn.,Wayne Peacock,,False
PNC Financial Services Group,William S. Demchak,PNC Financial Services Group.,True
Regions Financial,John Turner,,False
AbbVie,Richard A. Gonzalez,AbbVie Inc.,True
Marriott International,Anthony Capuano,Marriott International,True
Wayfair,Niraj Shah,Wayfair,True
Freeport-McMoRan,Richard C. Adkerson,Freeport-McMoRan Inc.,True
Norfolk Southern,Alan H. Shaw,Norfolk Southern Corporation.,True
Lam Research,Tim Archer,Tim Archer is the CEO of Lam Research Corporation.,True
Kellanova,The CEO of Kellanova is Chris D. Balach.,Kellanova.,True
ServiceNow,Bill McDermott,ServiceNow.,True
KKR,Joseph Bae and Scott Nuttall are co-CEOs of KKR.,KKR & Co. Inc.,True
Aramark,John Zillmer,Aramark,True
Paccar,Preston Feight,Preston Feight is the CEO of PACCAR Inc.,True
Hertz Global Holdings,Stephen Scherr,Stephen Scherr is the CEO of Hertz Global Holdings.,True
D.R. Horton,David V. Auld,,False
Land O'Lakes,Beth Ford,Land O'Lakes,True
Jefferies Financial Group,Rich Handler,Jefferies Financial Group.,True
Baker Hughes,Lorenzo Simonelli,Baker Hughes.,True
CMS Energy,Patricia Poppe,CMS Energy,True
Ebay,Jamie Iannone,eBay,True
RPM International,Frank C. Sullivan Jr.,RPM International Inc.,True
Alphabet,Sundar Pichai,Alphabet Inc.,True
Delta Air Lines,Ed Bastian,Delta Air Lines.,True
Targa Resources,The CEO of Targa Resources is Matt Meloy.,Targa Resources,True
Monster Beverage,Rodney Sacks,Monster Beverage Corporation.,True
Stryker,Kevin A. Lobo,Stryker Corporation,True
Consolidated Edison,Timothy C. Cawley,,False
Intel,Pat Gelsinger,Intel Corporation,True
Live Nation Entertainment,Michael Rapino,Live Nation Entertainment.,True
Amphenol,Richard Adam Norwitt,Richard Adam Norwitt is the CEO of Amphenol Corporation.,True
Caesars Entertainment,Tom Reeg,Tom Reeg is the CEO of Caesars Entertainment.,True
Archer Daniels Midland,Juan Luciano,Archer Daniels Midland Company (ADM),True
Booz Allen Hamilton Holding,Horacio Rozanski,,False
American Financial Group,Carl H. Lindner III,American Financial Group.,True
Verizon Communications,Hans Vestberg,Verizon Communications.,True
Stanley Black & Decker,James M. Loree,James M. Loree is the CEO of Stanley Black & Decker.,True
Kinder Morgan,David L. Stover,,False
Microsoft,Satya Nadella,Microsoft,True
Huntington Ingalls Industries,Kurt J. Decker,,False
Nvidia,Jensen Huang,NVIDIA,True
S&P Global,Doug Peterson,,False
Morgan Stanley,James Gorman,Morgan Stanley,True
Pioneer Natural Resources,Scott Sheffield,Pioneer Natural Resources.,True
Toll Brothers,Douglas C. Yearley Jr.,"Toll Brothers, Inc.",True
Workday,Aneel Bhusri,Workday,True
Laboratory Corp. of America,Adam H. Schechter,,False
Kimberly-Clark,Mike Hsu,Kimberly-Clark Corporation,True
Exxon Mobil,Darren W. Woods,,False
Xcel Energy,The CEO of Xcel Energy is Alice Jackson.,Xcel Energy,True
Estée Lauder,Fabrizio Freda,Estée Lauder Companies.,True
Oneok,Toby D. Rice,,False
Valero Energy,Joseph W. Gorder,Valero Energy Corporation,True
Lithia Motors,Bryan DeBoer,Lithia Motors.,True
American Airlines Group,Robert Isom,,False
Broadcom,Hock Tan,Broadcom Inc.,True
Lincoln National,The CEO of Lincoln National is Ellen Cooper.,Lincoln National Corporation,True
Elevance Health,The CEO of Elevance Health is Gail Boudreaux.,Elevance Health,True
Molina Healthcare,C. Jeffrey (Jeff) Decker,,False
Lowe's,Marvin Ellison,"Lowe's Companies, Inc.",True
DaVita,The CEO of DaVita is Javier Rodriguez.,DaVita Inc.,True
Ryder System,Robert E. Sanchez,"Robert E. Sanchez is the CEO of Ryder System, Inc.",True
Jones Financial (Edward Jones),Penny Pennington,,False
Textron,Scott C. Donnelly,Textron Inc.,True
Arrow Electronics,Michael J. Long,Michael J. Long is the CEO of Arrow Electronics.,True
NVR,Paul C. Saville,"Paul C. Saville is the CEO of NVR, Inc.",True
Constellation Energy,Joseph Dominguez,Joseph Dominguez is the CEO of Constellation Energy.,True
Community Health Systems,Timothy L. Hingtgen,,False
Concentrix,Chris Caldwell,,False
Quanta Services,Duke Austin,,False
Mondelez International,Dirk Van de Put,Mondelez International,True
CHS,Jay Debertin,CHS Inc.,True
Newmont,Tom Palmer,Newmont Corporation,True
Ameriprise Financial,Jim Cracchiolo,Ameriprise Financial.,True
Par Pacific Holdings,"The CEO of Par Pacific Holdings is William ""Bill"" Pate.",Par Pacific Holdings,True
Costco,Craig Jelinek,Costco Wholesale Corporation.,True
Altice USA,Dexter Goei,Altice USA,True
Exelon,Christopher M. Crane,Exelon Corporation,True
Visa,Alfred F. Kelly Jr.,,False
AES,The CEO of AES is Andrés Gluski.,AES Corporation,True
Goodyear Tire & Rubber,Richard J. Kramer,The Goodyear Tire & Rubber Company.,True
WestRock,David B. Sewell,,False
O-I Glass,Andres Lopez,,False
Omnicom Group,John Wren,Omnicom Group.,True
RTX,Greg Hayes,,False
Erie Insurance Group,Timothy G. NeCastro,,False
GXO Logistics,Malcolm Wilson,,False
Arthur J. Gallagher,"J. Patrick Gallagher, Jr.",Arthur J. Gallagher & Co.,True
Dover,The CEO of Dover Corporation is Richard J. Tobin.,Dover Corporation,True
Air Products & Chemicals,Seifi Ghasemi,,False
Hershey,Michele Buck,The Hershey Company,True
Cleveland-Cliffs,Lourenco Goncalves,Cleveland-Cliffs Inc.,True
Steel Dynamics,Mark D. Millett,"Steel Dynamics, Inc.",True
American Electric Power,Nicholas K. Akins,American Electric Power (AEP),True
Lumen Technologies,Kate Johnson,,False
Parker-Hannifin,Thomas L. Williams,,False
Performance Food Group,George L. Holm,,False
Charter Communications,Chris Winfrey,Charter Communications,True
Nationwide Insurance,Kirt Walker,,False
CDW,Christine Leahy,Christine Leahy is the CEO of CDW Corporation.,True
BorgWarner,Frédéric Lissalde,BorgWarner.,True
Northwestern Mutual,John E. Schlifske,Northwestern Mutual.,True
BJ's Wholesale Club,Bob Eddy,,False
Synchrony Financial,Brian Doubles,,False
U.S. Bancorp,Andy Cecere,U.S. Bancorp,True
HP,Enrique Lores,HP Inc.,True
AutoZone,Bill Rhodes,,False
Occidental Petroleum,Vicki Hollub,Occidental Petroleum Corporation,True
W.R. Berkley,W. Robert Berkley Jr.,,False
BlackRock,Larry Fink,BlackRock,True
Sysco,Kevin Hourican,Sysco Corporation.,True
Dick's Sporting Goods,Edward W. Stack,Dick's Sporting Goods,True
Rush Enterprises,Rusty Rush,Rush Enterprises,True
Aflac,Daniel P. Amos,Aflac Incorporated.,True
TJX,Ernie Herrman,TJX Companies,True
AGCO,Eric Hansotia,AGCO Corporation.,True
Nordstrom,Erik Nordstrom,"Nordstrom, Inc.",True
Albertsons,Vivek Sankaran,Albertsons Companies.,True
Humana,Bruce D. Broussard,Humana Inc.,True
Public Service Enterprise Group,Ralph Izzo,Public Service Enterprise Group (PSEG),True
Becton Dickinson,Tom Polen,,False
Marathon Petroleum,The CEO of Marathon Petroleum is Michael J. Hennigan.,Marathon Petroleum Corporation,True
Masco,The CEO of Masco is Keith Allman.,Masco Corporation,True
Campbell Soup,Mark Clouse,The Campbell Soup Company.,True
Fidelity National Information Services,The CEO of Fidelity National Information Services (FIS) is Stephanie Ferris.,Fidelity National Information Services (FIS),True
Genuine Parts,Paul Donahue,,False
Packaging Corp. of America,Mark W. Kowlzan,,False
Continental Resources,Bill Berry,,False
Mohawk Industries,Jeff Lorberbaum,Mohawk Industries,True
United Rentals,Matthew Flannery,,False
Western Digital,David Goeckeler,David Goeckeler is the CEO of Western Digital Corporation.,True
Apollo Global Management,Marc Rowan,Apollo Global Management.,True
Reliance,Mukesh Ambani,Reliance Industries Limited.,True
Universal Health Services,Alan B. Miller,"Universal Health Services, Inc.",True
Ovintiv,The CEO of Ovintiv is Doug Suttles.,Ovintiv,True
Celanese,Lance C. Campbell,,False
Oshkosh,John Pfeifer,,False
O'Reilly Automotive,Greg Henslee,,False
Electronic Arts,Andrew Wilson,Electronic Arts (EA),True
Fannie Mae,Priscilla Almodovar,Priscilla Almodovar is the CEO of Fannie Mae.,True
Raymond James Financial,Paul C. Reilly,"Paul C. Reilly is the CEO of Raymond James Financial, Inc.",True
L3Harris Technologies,Christopher E. Kubasik,L3Harris Technologies.,True
TD Synnex,Rich Hume,TD Synnex.,True
United States Steel,David B. Burritt,United States Steel Corporation.,True
Nike,John Donahoe,"Nike, Inc.",True
Dell Technologies,Michael Dell,Dell Technologies,True
Union Pacific,Lance Fritz,Union Pacific Corporation.,True
International Business Machines,Arvind Krishna,,False
Devon Energy,Rick Muncrief,Devon Energy Corporation.,True
Avnet,Phil Gallagher,,False
Micron Technology,Sanjay Mehrotra,Micron Technology.,True
Dollar Tree,Rick Dreiling,"Rick Dreiling is the CEO of Dollar Tree, Inc.",True
PulteGroup,Ryan Marshall,,False
Texas Instruments,Haviv Ilan,,False
AT&T,John Stankey,AT&T,True
American Tower,Tom Bartlett,American Tower Corporation,True
AECOM,T. Michael McNally,,False
Walmart,Doug McMillon,Walmart,True
Rockwell Automation,Blake Moret,Rockwell Automation,True
Paramount Global,Bob Bakish,Paramount Global,True
HCA Healthcare,Sam Hazen,HCA Healthcare.,True
Principal Financial,Dan Houston,Principal Financial Group.,True
Penske Automotive Group,Roger Penske,,False
SpartanNash,Tony Sarsam,"Tony Sarsam is the CEO of the food company, SpartanNash.",True
MetLife,Michel Khalaf,MetLife,True
American Family Insurance Group,The CEO of American Family Insurance Group is Bill Westrate.,American Family Insurance Group,True
Citizens Financial Group,Bruce Van Saun,Citizens Financial Group.,True
Publix Super Markets,Todd Jones,,False
Danaher,Rainer M. Blair,Rainer M. Blair is the CEO of Danaher Corporation.,True
New York Life Insurance,The CEO of New York Life Insurance is Ted Mathas.,New York Life Insurance Company,True
Liberty Media,Greg Maffei,Liberty Media Corporation,True
Capital One Financial,Richard Fairbank,Capital One Financial Corporation.,True
Walgreens Boots Alliance,Rosalind Brewer,Walgreens Boots Alliance,True
KLA,Rick Wallace,,False
MasTec,Jose Mas,"MasTec, Inc.",True
News Corp.,Robert Thomson,News Corp.,True
Expedia Group,Peter Kern,Expedia Group,True
Amazon,Andy Jassy,Amazon Web Services (AWS),True
Bank of America,Brian Moynihan,Bank of America,True
Zimmer Biomet Holdings,Bryan C. Hanson,,False
Coupang,Bom Kim,Coupang,True
KeyCorp,Chris Gorman,Chris Gorman is the CEO of KeyCorp.,True
Bristol-Myers Squibb,Giovanni Caforio,Bristol-Myers Squibb.,True
Quest Diagnostics,The CEO of Quest Diagnostics is Jim Davis.,Quest Diagnostics,True
Hilton Worldwide Holdings,Christopher J. Nassetta,Hilton Worldwide Holdings Inc.,True
Warner Bros. Discovery,David Zaslav,Warner Bros. Discovery,True
Viatris,Robert J. Coury,,False
Global Payments,Jeff Sloan,Global Payments Inc.,True
Halliburton,Jeff Miller,Jeff Miller is the CEO of Halliburton.,True
Alaska Air Group,Ben Minicucci,Alaska Air Group,True
Weyerhaeuser,Devin W. Stockfish,,False
Rite Aid,Elizabeth Burr.,,False
Pfizer,Albert Bourla,Pfizer,True
Procter & Gamble,Jon Moeller,Procter & Gamble (P&G),True
Franklin Resources,Jenny Johnson,,False
United Parcel Service,Carol Tomé,UPS (United Parcel Service),True
EOG Resources,"William R. ""Bill"" Thomas",,False
Huntington Bancshares,Steve Steinour,Huntington Bancshares Incorporated.,True
Emerson Electric,Lal Karsanbhai,,False
Energy Transfer,Thomas E. Long,,False
Adobe,Shantanu Narayen,Adobe Inc.,True
Thermo Fisher Scientific,Marc N. Casper,Thermo Fisher Scientific,True
WESCO International,The CEO of WESCO International is John J. Engel.,WESCO International,True
Lennar,David A. Cobb,,False
Cincinnati Financial,The CEO of Cincinnati Financial is Steven J. Johnston.,Cincinnati Financial Corporation,True
Freddie Mac,The CEO of Freddie Mac is Michael DeVito.,Freddie Mac,True
NOV,Clay Williams,Clay Williams is the CEO of NOV Inc. (National Oilwell Varco).,True
Kroger,Gary Millerchip,,False
Science Applications International,Nazzic Keene,Nazzic Keene is the CEO of SAIC (Science Applications International Corporation).,True
Berry Global Group,The CEO of Berry Global Group is Thomas E. Salmon.,Berry Global Group.,True
Northern Trust,Michael O'Grady,Michael O'Grady is the CEO of Northern Trust Corporation.,True
Cigna Group,David Cordani,,False
JPMorgan Chase,Jamie Dimon,JPMorgan Chase.,True
Qualcomm,Cristiano Amon,Qualcomm,True
Sherwin-Williams,John G. Morikis,Sherwin-Williams,True
Blackstone,Stephen A. Schwarzman,Blackstone Group,True
Voya Financial,Rodney O. Martin Jr.,,False
Loews,James S. Tisch,Loews Corporation.,True
Chewy,Sumit Singh,"Chewy, Inc.",True
Lululemon athletica,Calvin McDonald,Lululemon Athletica,True
Massachusetts Mutual Life Insurance,Roger W. Crandall,MassMutual (Massachusetts Mutual Life Insurance Company),True
Williams,Jost Capito,Jost Capito is the CEO of Williams Racing.,True
TIAA,Thasunda Brown Duckett,TIAA (Teachers Insurance and Annuity Association).,True
Cheniere Energy,Jack Fusco,"Cheniere Energy, Inc.",True
Hartford Financial Services Group,The CEO of Hartford Financial Services Group is Christopher Swift.,Hartford Financial Services Group,True
Progressive,Tricia Griffith,The Progressive Corporation.,True
Pacific Life,The CEO of Pacific Life is Jim Morris.,Pacific Life,True
Owens & Minor,The CEO of Owens & Minor is Edward A. Pesicka.,Owens & Minor,True
IQVIA Holdings,Ari Bousbib,,False
Whirlpool,Marc Bitzer,Whirlpool Corporation,True
Vulcan Materials,The CEO of Vulcan Materials is J. Thomas Hill.,Vulcan Materials Company,True
Dow,Jim Fitterling,Dow Inc.,True
Ulta Beauty,Dave Kimbell,Dave Kimbell is the CEO of Ulta Beauty.,True
PG&E,Patricia Poppe,,False
Entergy,Leo Denault,Entergy Corporation,True
CenterPoint Energy,David E. Lesar,,False
Corteva,Jim Collins,,False
Skechers U.S.A.,Robert Greenberg,,False
LPL Financial Holdings,Dan Arnold,,False
General Mills,Jeff Harmening,General Mills,True
ABM Industries,Scott Salmirs,Scott Salmirs is the CEO of ABM Industries.,True
Asbury Automotive Group,David Hult,"As of my last knowledge update, David Hult is the CEO of Asbury Automotive Group.",True
Builders FirstSource,Dave Flitman,Dave Flitman is the CEO of Builders FirstSource.,True
CSX,James M. Foote,CSX Corporation.,True
DXC Technology,Mike Salvino,,False
Booking Holdings,Glenn Fogel,Booking Holdings.,True
Block,Jack Dorsey,"Jack Dorsey is the CEO of Block, Inc. (formerly Square, Inc.).",True
Lear,Raymond Scott,,False
Ingredion,Jim Zallie,The U.S. division of Ingredion Incorporated.,True
State Street,Ronald O'Hanley,State Street Corporation,True
Ford Motor,Jim Farley,Ford Motor Company,True
Ecolab,Christophe Beck,Christophe Beck is the CEO of Ecolab.,True
THOR Industries,Bob Martin,,False
Charles Schwab,Walt Bettinger,Charles Schwab Corporation,True
ON Semiconductor,Hassane El-Khoury,Onsemi (formerly known as ON Semiconductor),True
Alcoa,The CEO of Alcoa is Roy Harvey.,Alcoa Corporation,True
State Farm Insurance,Michael Tipsord,State Farm Insurance.,True
Biogen,Christopher A. Viehbacher,,False
Markel Group,Thomas S. Gayner,,False
Carvana,Ernie Garcia III,Carvana,True
Graphic Packaging Holding,Michael D. Rourke,,False
NRG Energy,Mauricio Gutierrez,NRG Energy,True
First Citizens BancShares,Frank B. Holding Jr.,"First Citizens BancShares, Inc.",True
HF Sinclair,The CEO of HF Sinclair is Michael Jennings.,HF Sinclair Corporation,True
Vistra,Jim Burke,,False
DTE Energy,Jerry Norcia,DTE Energy,True
Leidos Holdings,Roger A. Krone,"Leidos Holdings, Inc.",True
Carrier Global,David Gitlin,Carrier Global Corporation.,True
Hess,John B. Hess,Hess Corporation,True
Henry Schein,Stanley M. Bergman,"Henry Schein, Inc.",True
Sempra,Jeffrey W. Martin,Sempra Energy.,True
Applied Materials,Gary Dickerson,"Applied Materials, Inc.",True
Eversource Energy,Joseph R. Nolan Jr.,Eversource Energy,True
Best Buy,Corie Barry,Best Buy,True
Fox,Lachlan Murdoch,Fox Corporation,True
